membros,x_latente,y_integracao_kf,semantico,na_faixa,quadrante
W2154683088|W2165429918|W4285719527,0.0552,0.4213,0.0628,0,ruido_quimera
W2123755784|W2165429918|W4285719527,0.0586,0.4212,0.0654,0,ruido_quimera
W2155153551|W3124879925|W4285719527,0.054,0.4212,0.4087,0,ruido_quimera
W1566478880|W2165429918|W4285719527,0.0782,0.421,0.1021,0,ruido_quimera
W2111030512|W2165429918|W4285719527,0.0586,0.4209,0.0572,0,ruido_quimera
W2048086870|W2165429918|W4285719527,0.0552,0.4207,0.0867,0,ruido_quimera
W2155153551|W4206762723|W4285719527,0.0494,0.4125,0.0,0,ruido_quimera
W1601629960|W2155153551|W4285719527,0.0701,0.4107,0.3201,0,ruido_quimera
W2126563689|W2155153551|W4285719527,0.054,0.4085,0.2925,1,costura_ouro
W1562620462|W4206762723|W4285719527,0.0483,0.3951,0.0,0,ruido_quimera
W1982375873|W2126563689|W4285719527,0.0506,0.3938,0.1762,0,ruido_quimera
W1562620462|W2126563689|W4285719527,0.0506,0.393,-0.054,0,ruido_quimera
W1601629960|W1982375873|W4285719527,0.0678,0.392,0.3338,0,ruido_quimera
W1562620462|W1601629960|W4285719527,0.0678,0.3908,0.0505,0,ruido_quimera
W1982375873|W2126563689|W4206762723,0.1678,0.3874,0.1762,0,ruido_quimera
W1601629960|W1982375873|W4206762723,0.0678,0.3866,0.3338,0,ruido_quimera
W1601629960|W1982375873|W2126563689,0.0103,0.3848,0.3471,0,ruido_quimera
W1492856410|W1562620462|W4285719527,0.0517,0.3809,0.1251,0,ruido_quimera
W1562620462|W2154683088|W4285719527,0.054,0.3808,0.2564,1,costura_ouro
W1562620462|W2123755784|W4285719527,0.0575,0.3805,0.2283,1,costura_ouro
W1562620462|W2048086870|W4285719527,0.054,0.3802,0.1856,0,ruido_quimera
W1562620462|W1566478880|W4285719527,0.0103,0.3797,0.2576,1,costura_ouro
W1562620462|W2111030512|W4285719527,0.0102,0.3794,0.0536,0,ruido_quimera
W1520641906|W1601629960|W2142257426,0.0736,0.3751,0.3195,0,ruido_quimera
W2126563689|W2142257426|W4206762723,0.1678,0.3748,0.2216,1,costura_ouro
W1601629960|W2126563689|W2142257426,0.0782,0.3728,0.3331,0,ruido_quimera
W1492856410|W2142257426|W2154683088,0.0805,0.3632,0.2745,1,costura_ouro
W2123755784|W2142257426|W2154683088,0.1057,0.3629,0.2667,1,costura_ouro
W1566478880|W2142257426|W2154683088,0.0736,0.3628,0.4549,0,ruido_quimera
W2111030512|W2142257426|W2154683088,0.0494,0.3628,0.2133,0,ruido_quimera
W1520641906|W1601629960|W1979505044,0.0736,0.3339,0.2237,1,costura_ouro
W1601629960|W1979505044|W4206762723,0.0678,0.3326,0.1334,0,ruido_quimera
W1601629960|W1979505044|W2126563689,0.0782,0.3315,0.2582,1,costura_ouro
W1600823763|W4206762723|W4285719527,0.0483,0.3249,0.0,0,ruido_quimera
W1600823763|W2126563689|W4285719527,0.0506,0.3228,0.1509,0,ruido_quimera
W1979505044|W2048086870|W2111030512,0.0563,0.3225,0.2573,1,fechamento_trivial
W1600823763|W1601629960|W4285719527,0.0678,0.3205,0.2355,1,agenda_pesquisa
W1492856410|W1600823763|W4285719527,0.0517,0.3138,0.1634,0,ruido_quimera
W1600823763|W2154683088|W4285719527,0.054,0.3135,0.2269,1,fechamento_trivial
W1600823763|W2123755784|W4285719527,0.0575,0.3133,0.2135,0,ruido_quimera
W1566478880|W1600823763|W4285719527,0.077,0.3129,0.2853,1,agenda_pesquisa
W1600823763|W2111030512|W4285719527,0.0575,0.3129,0.1692,0,ruido_quimera
W1600823763|W2048086870|W4285719527,0.054,0.3128,0.259,1,fechamento_trivial
W2005144066|W2025177555|W2123755784,0.0483,0.299,0.2365,1,fechamento_trivial
W1492856410|W2005144066|W2123755784,0.0747,0.2988,0.21,0,ruido_quimera
W2005144066|W2123755784|W2154683088,0.1057,0.2987,0.2875,1,agenda_pesquisa
W2005144066|W2123755784|W52678905,0.0632,0.2987,0.2235,1,agenda_pesquisa
W1566478880|W2005144066|W2123755784,0.1494,0.2984,0.3542,0,ruido_quimera
W2005144066|W2111030512|W2123755784,0.0747,0.2984,0.1673,0,ruido_quimera
W2005144066|W2048086870|W2111030512,0.0563,0.2979,0.2144,0,ruido_quimera
W2028436159|W4206762723|W4285719527,0.0202,0.2975,0.0,0,ruido_quimera
W2028436159|W2126563689|W4285719527,0.0202,0.2956,0.0877,0,ruido_quimera
W2007287880|W2111030512|W4244612406,0.0598,0.2952,0.2669,1,agenda_pesquisa
